Date,Open,High,Low,Close,Volume,Adj Close
2016-05-18,9.85,10.10,9.45,9.50,7192100,9.50
2016-05-17,9.68,10.22,9.61,9.92,9244900,9.92
2016-05-16,9.70,10.14,9.49,9.65,10801000,9.65
2016-05-13,9.35,9.73,9.32,9.43,6499600,9.43
2016-05-12,9.77,9.88,9.36,9.54,10086600,9.54
2016-05-11,9.32,9.84,8.95,9.50,13138200,9.50
2016-05-10,8.91,9.54,8.66,9.46,14202600,9.46
2016-05-09,8.56,8.79,8.43,8.68,9808000,8.68
2016-05-06,8.52,9.13,8.49,8.66,9625800,8.66
2016-05-05,8.82,9.03,8.47,8.74,9884500,8.74
2016-05-04,8.62,8.83,8.19,8.36,8033600,8.36
2016-05-03,9.04,9.07,8.36,8.50,13681300,8.50
2016-05-02,9.66,9.68,9.06,9.30,11596200,9.30
2016-04-29,10.01,10.37,9.28,9.69,14152000,9.69
2016-04-28,10.31,10.56,9.77,9.81,10672700,9.81
2016-04-27,10.11,10.75,10.11,10.40,13709900,10.40
2016-04-26,9.61,9.99,9.42,9.89,6213400,9.89
2016-04-25,9.75,10.01,9.43,9.54,8911400,9.54
2016-04-22,9.44,10.15,9.43,9.82,8338200,9.82
2016-04-21,9.44,9.50,8.97,9.30,10195900,9.30
2016-04-20,9.02,9.50,8.90,9.34,10630800,9.34
2016-04-19,8.89,9.41,8.82,9.16,10630200,9.16
2016-04-18,7.88,8.74,7.84,8.71,11032200,8.71
2016-04-15,8.75,8.81,8.52,8.63,9598000,8.63
2016-04-14,8.85,8.99,8.61,8.97,8163600,8.97
2016-04-13,8.92,9.08,8.60,8.76,11308400,8.76
2016-04-12,8.21,9.17,8.16,9.03,16572200,9.03
2016-04-11,8.11,8.28,7.95,8.14,8172000,8.14
2016-04-08,8.14,8.38,7.78,8.03,13015500,8.03
2016-04-07,7.77,7.99,7.48,7.68,14298600,7.68
2016-04-06,7.20,7.92,7.11,7.90,16232200,7.90
2016-04-05,6.74,7.12,6.70,6.95,10250700,6.95
2016-04-04,7.08,7.33,6.83,6.85,10439400,6.85
2016-04-01,6.95,7.17,6.70,7.08,11525200,7.08
2016-03-31,7.16,7.58,7.03,7.28,12247800,7.28
2016-03-30,7.44,7.50,7.03,7.26,12437600,7.26
2016-03-29,6.64,7.14,6.44,7.11,10709200,7.11
2016-03-28,7.12,7.15,6.52,6.88,8405700,6.88
2016-03-24,6.52,7.24,6.40,7.14,9675500,7.14
2016-03-23,7.74,8.00,6.83,6.86,12998600,6.86
2016-03-22,7.75,8.06,7.65,8.04,9692100,8.04
2016-03-21,7.90,8.22,7.58,7.99,9502800,7.99
2016-03-18,8.66,8.78,7.71,8.00,21107400,8.00
2016-03-17,7.73,8.50,7.64,8.26,14157300,8.26
2016-03-16,7.31,7.73,7.29,7.50,12957800,7.50
2016-03-15,7.10,7.24,6.80,7.09,9337400,7.09
2016-03-14,7.16,7.46,6.96,7.20,12047400,7.20
2016-03-11,7.52,7.77,7.25,7.48,13742900,7.48
2016-03-10,6.71,7.29,6.47,7.14,16473200,7.14
2016-03-09,6.24,6.98,6.10,6.76,11153400,6.76
2016-03-08,6.60,6.65,5.93,6.02,14007500,6.02
2016-03-07,7.05,7.45,6.56,6.74,21894800,6.74
2016-03-04,6.91,7.49,6.47,6.91,24308400,6.91
2016-03-03,6.25,7.07,6.14,6.69,19384500,6.69
2016-03-02,5.44,6.37,5.43,6.35,15321600,6.35
2016-03-01,5.48,5.66,5.01,5.61,15369500,5.61
2016-02-29,5.31,5.76,5.26,5.39,13747300,5.39
2016-02-26,5.00,5.60,4.90,5.29,16606200,5.29
2016-02-25,4.76,4.88,4.21,4.68,14114200,4.68
2016-02-24,4.34,4.70,4.21,4.53,6911500,4.53
2016-02-23,4.87,4.87,4.44,4.47,8427200,4.47
2016-02-22,5.03,5.11,4.81,4.94,11277100,4.94
2016-02-19,4.54,4.80,4.43,4.80,7320200,4.80
2016-02-18,5.29,5.35,4.56,4.83,11899500,4.83
2016-02-17,4.70,5.23,4.70,5.10,11134200,5.10
2016-02-16,4.68,4.75,4.41,4.63,8222200,4.63
2016-02-12,4.50,4.63,4.03,4.52,15615600,4.52
2016-02-11,4.54,4.61,4.01,4.29,14273300,4.29
2016-02-10,4.95,5.25,4.70,4.73,8207000,4.73
2016-02-09,5.05,5.17,4.70,4.95,8256700,4.95
2016-02-08,5.33,5.38,4.93,5.31,7329600,5.31
2016-02-05,5.81,6.20,5.44,5.61,13255500,5.61
2016-02-04,5.76,6.30,5.65,6.02,11438100,6.02
2016-02-03,5.35,5.70,4.92,5.68,11122000,5.68
2016-02-02,4.99,5.30,4.85,5.10,14138700,5.10
2016-02-01,5.10,5.34,4.91,5.27,15603800,5.27
2016-01-29,4.85,5.38,4.75,5.35,17264700,5.35
2016-01-28,5.02,5.19,4.55,4.79,58149900,4.79
2016-01-27,5.06,5.78,4.95,5.32,16696500,5.32
2016-01-26,4.88,5.24,4.42,5.16,12584000,5.16
2016-01-25,5.14,5.44,4.65,4.68,12135600,4.68
2016-01-22,5.72,6.20,5.23,5.52,18675100,5.52
2016-01-21,4.12,5.15,4.10,4.95,18615800,4.95
2016-01-20,4.10,4.43,3.40,4.32,24638200,4.32
2016-01-19,4.90,4.94,4.23,4.39,13519600,4.39
2016-01-15,5.18,5.38,4.61,4.84,21034400,4.84
2016-01-14,5.53,5.97,5.30,5.77,16817700,5.77
2016-01-13,5.94,6.48,5.36,5.47,17186600,5.47
2016-01-12,6.50,6.66,5.65,5.94,15851000,5.94
2016-01-11,6.35,6.40,5.80,6.17,12048800,6.17
2016-01-08,6.49,6.73,5.98,6.47,15794100,6.47
2016-01-07,6.58,7.01,6.26,6.38,13803500,6.38
2016-01-06,7.01,7.26,6.82,6.90,11445500,6.90
2016-01-05,7.58,7.60,7.03,7.45,11832200,7.45
2016-01-04,7.30,7.77,7.11,7.58,10393200,7.58
2015-12-31,6.76,7.40,6.74,7.37,9417700,7.37
2015-12-30,6.85,7.31,6.67,6.81,10272400,6.81
2015-12-29,7.35,7.52,6.83,7.32,10776100,7.32
2015-12-28,7.65,7.65,7.01,7.05,7337700,7.05
2015-12-24,8.15,8.34,7.62,7.96,6876000,7.96
2015-12-23,7.07,8.15,7.04,8.09,16532400,8.09
2015-12-22,6.42,6.92,6.34,6.75,11632300,6.75
2015-12-21,7.11,7.13,6.41,6.45,20515400,6.45
2015-12-18,7.78,8.12,7.12,7.15,20338200,7.15
2015-12-17,8.51,8.54,7.75,7.84,13619400,7.84
2015-12-16,9.11,9.32,8.28,8.50,14561000,8.50
2015-12-15,8.53,9.22,8.50,9.20,11799600,9.20
2015-12-14,8.74,8.84,8.30,8.45,10961400,8.45
2015-12-11,9.12,9.19,8.81,8.86,9562400,8.86
2015-12-10,8.62,9.50,8.57,9.40,12748000,9.40
2015-12-09,8.64,9.40,8.52,8.78,11524600,8.78
2015-12-08,8.20,8.74,8.11,8.65,15095700,8.65
2015-12-07,9.38,9.38,8.33,8.54,16147500,8.54
2015-12-04,9.99,10.09,9.28,9.80,12915800,9.80
2015-12-03,10.64,10.69,10.02,10.32,13091700,10.32
2015-12-02,11.17,11.22,10.35,10.44,12325600,10.44
2015-12-01,11.49,11.78,11.27,11.35,6247100,11.35
2015-11-30,11.48,11.93,11.33,11.49,8830700,11.49
2015-11-27,11.84,12.07,11.26,11.32,4983600,11.32
2015-11-25,12.18,12.47,11.79,12.11,7923800,12.11
2015-11-24,11.78,12.51,11.78,12.40,8561100,12.40
2015-11-23,11.40,11.88,11.14,11.62,6324400,11.62
2015-11-20,11.57,11.83,11.15,11.36,6570900,11.36
2015-11-19,11.95,12.20,11.36,11.53,7500100,11.53
2015-11-18,12.00,12.26,11.54,12.18,7382300,12.18
2015-11-17,12.29,12.35,11.70,11.77,7520400,11.77
2015-11-16,11.74,12.49,11.53,12.46,7472700,12.46
2015-11-13,11.50,11.90,11.15,11.69,8344600,11.69
2015-11-12,11.45,12.13,11.22,11.59,7204700,11.59
2015-11-11,12.49,12.59,11.43,11.77,10029100,11.77
2015-11-10,12.34,12.75,12.20,12.58,6155200,12.58
2015-11-09,13.05,13.39,12.40,12.47,8022400,12.47
2015-11-06,12.59,13.44,12.46,12.99,8679100,12.99
2015-11-05,12.40,13.72,12.14,12.84,12509700,12.84
2015-11-04,12.65,13.14,11.80,12.43,15412400,12.43
2015-11-03,12.05,12.50,12.03,12.15,13196700,12.15
2015-11-02,11.35,12.01,11.25,11.82,8280800,11.82
2015-10-30,11.28,11.79,10.69,11.63,9214800,11.63
2015-10-29,11.00,11.78,11.00,11.17,7509300,11.17
2015-10-28,10.65,11.72,10.53,11.13,11794000,11.13
2015-10-27,10.76,10.91,10.29,10.59,7464600,10.59
2015-10-26,11.10,11.19,10.70,11.07,5552300,11.07
2015-10-23,10.95,11.26,10.65,11.22,7779800,11.22
2015-10-22,11.43,11.84,10.69,11.08,8177500,11.08
2015-10-21,11.59,11.71,11.22,11.28,6501000,11.28
2015-10-20,11.37,12.22,11.27,11.77,6394600,11.77
2015-10-19,11.92,12.16,11.09,11.41,9790200,11.41
2015-10-16,12.51,12.62,11.82,12.25,7362200,12.25
2015-10-15,11.64,12.46,11.41,12.37,9684000,12.37
2015-10-14,11.85,12.09,11.41,11.85,10173700,11.85
2015-10-13,11.94,12.83,11.66,11.90,9602400,11.90
2015-10-12,13.60,13.60,12.08,12.20,8753800,12.20
2015-10-09,13.99,14.15,13.11,13.60,9746900,13.60
2015-10-08,12.91,14.13,12.57,13.76,12648100,13.76
2015-10-07,13.70,13.98,12.22,12.89,19026300,12.89
2015-10-06,11.76,13.64,11.56,13.48,17910000,13.48
2015-10-05,10.98,11.93,10.94,11.73,12769300,11.73
2015-10-02,9.02,10.76,8.94,10.73,12919200,10.73
2015-10-01,9.00,9.34,8.89,9.19,11222500,9.19
2015-09-30,8.60,8.86,8.38,8.68,8988100,8.68
2015-09-29,8.48,8.62,8.25,8.51,5018600,8.51
2015-09-28,8.88,9.01,8.36,8.37,7700800,8.37
2015-09-25,9.62,9.77,9.01,9.09,6486500,9.09
2015-09-24,9.24,9.66,9.04,9.51,6803200,9.51
2015-09-23,9.87,10.01,9.37,9.39,7557800,9.39
2015-09-22,9.45,10.13,9.41,9.85,9041000,9.85
2015-09-21,10.04,10.19,9.66,9.74,8122300,9.74
2015-09-18,10.18,10.46,9.64,9.78,12931200,9.78
2015-09-17,10.33,11.05,10.11,10.56,11644000,10.56
2015-09-16,9.69,10.39,9.51,10.35,10620400,10.35
2015-09-15,9.21,9.45,9.10,9.37,8988200,9.37
2015-09-14,9.20,9.21,8.75,9.15,8544800,9.15
2015-09-11,9.47,9.75,8.94,9.30,10045700,9.30
2015-09-10,9.87,10.14,9.44,9.76,8379700,9.76
2015-09-09,10.58,11.22,9.80,9.86,10205300,9.86
2015-09-08,10.98,11.12,10.38,10.77,10241600,10.77
2015-09-04,10.37,11.08,10.26,11.06,9849100,11.06
2015-09-03,10.56,11.05,10.27,10.55,11434600,10.55
2015-09-02,10.65,10.72,9.64,10.50,12803300,10.50
2015-09-01,10.61,10.99,10.25,10.43,14545700,10.43
2015-08-31,9.69,11.19,9.49,11.16,14864000,11.16
2015-08-28,9.35,10.57,9.32,9.99,16351900,9.99
2015-08-27,8.70,9.59,8.68,9.47,11314100,9.47
2015-08-26,8.36,8.68,8.04,8.30,14773100,8.30
2015-08-25,8.89,8.90,8.06,8.07,6480900,8.07
2015-08-24,8.33,9.09,8.10,8.23,10440800,8.23
2015-08-21,9.52,9.88,8.91,9.20,11500700,9.20
2015-08-20,10.11,10.41,9.63,9.66,7108000,9.66
2015-08-19,10.50,10.75,9.94,10.18,9211400,10.18
2015-08-18,10.24,10.67,10.13,10.64,7692300,10.64
2015-08-17,10.70,10.72,10.14,10.26,7129000,10.26
2015-08-14,11.08,11.34,10.45,10.48,8739400,10.48
2015-08-13,11.33,11.49,10.60,11.04,12144100,11.04
2015-08-12,10.80,11.72,10.73,11.60,12677700,11.60
2015-08-11,10.18,11.01,9.80,10.99,12236800,10.99
2015-08-10,9.57,10.79,9.50,10.77,11597800,10.77
2015-08-07,9.77,10.70,9.43,9.51,13850200,9.51
2015-08-06,8.51,10.07,8.17,10.03,22969300,10.03
2015-08-05,9.42,10.16,8.16,8.35,28536500,8.35
2015-08-04,9.01,9.15,8.45,8.58,11321900,8.58
2015-08-03,9.48,9.48,8.71,8.78,11704400,8.78
2015-07-31,9.82,10.16,9.61,9.63,9954000,9.63
2015-07-30,10.24,10.52,9.68,9.91,12239800,9.91
2015-07-29,9.73,10.76,9.61,10.40,10708400,10.40
2015-07-28,9.54,10.15,8.94,9.77,14256900,9.77
2015-07-27,9.90,10.00,9.35,9.42,7178500,9.42
2015-07-24,10.58,10.62,9.90,10.14,8578400,10.14
2015-07-23,10.60,10.80,10.07,10.57,9080700,10.57
2015-07-22,10.66,10.70,10.21,10.52,9632300,10.52
2015-07-21,11.20,11.63,10.78,10.80,7683400,10.80
2015-07-20,11.65,11.65,10.90,11.08,9616200,11.08
2015-07-17,12.06,12.08,11.52,11.71,8469100,11.71
2015-07-16,12.95,12.98,12.07,12.09,7591600,12.09
2015-07-15,13.24,13.35,12.65,12.75,6902500,12.75
2015-07-14,12.65,13.54,12.54,13.41,9291400,13.41
2015-07-13,12.56,12.70,12.06,12.63,11686500,12.63
2015-07-10,13.50,13.64,12.51,12.51,9922700,12.51
2015-07-09,13.53,13.84,13.17,13.42,9180500,13.42
2015-07-08,13.74,14.10,12.94,13.10,6490000,13.10
2015-07-07,13.30,14.05,12.49,14.00,12398400,14.00
2015-07-06,14.11,14.12,13.11,13.44,10140900,13.44
2015-07-02,14.51,15.03,14.31,14.63,7599300,14.63
2015-07-01,15.78,15.85,14.15,14.43,12051600,14.43
2015-06-30,16.030001,16.129999,15.25,15.85,6452400,15.85
2015-06-29,15.20,15.90,15.15,15.84,6944300,15.84
2015-06-26,16.10,16.10,15.38,15.74,16122100,15.74
2015-06-25,16.040001,16.209999,15.73,16.190001,5411000,16.190001
2015-06-24,16.26,16.40,15.87,15.98,6997700,15.98
2015-06-23,16.35,16.450001,16.10,16.280001,5978600,16.280001
2015-06-22,16.709999,16.76,16.27,16.360001,4975700,16.360001
2015-06-19,16.950001,17.129999,16.51,16.629999,5990800,16.629999
2015-06-18,17.18,17.35,16.870001,17.18,4301400,17.18
2015-06-17,17.190001,17.540001,16.780001,17.110001,4826000,17.110001
2015-06-16,16.889999,16.99,16.559999,16.969999,3824900,16.969999
2015-06-15,16.690001,17.139999,16.610001,16.75,4382700,16.75
2015-06-12,17.110001,17.190001,16.51,16.93,5012500,16.93
2015-06-11,17.83,17.959999,17.120001,17.15,5001800,17.15
2015-06-10,17.459999,17.639999,17.059999,17.469999,5441200,17.469999
2015-06-09,17.049999,17.43,17.01,17.049999,5734100,17.049999
2015-06-08,16.59,17.030001,16.379999,16.77,5396700,16.77
2015-06-05,16.09,16.99,16.09,16.66,5935200,16.66
2015-06-04,16.629999,16.629999,16.030001,16.33,5634400,16.33
2015-06-03,17.030001,17.40,16.610001,16.68,5246500,16.68
2015-06-02,16.92,17.33,16.82,17.17,4981300,17.17
2015-06-01,16.889999,17.209999,16.700001,16.790001,3799800,16.790001
2015-05-29,16.799999,17.219999,16.65,16.98,4726800,16.98
2015-05-28,16.780001,16.93,16.299999,16.700001,5351300,16.700001
2015-05-27,16.889999,17.24,16.700001,17.040001,5702200,17.040001
2015-05-26,17.00,17.200001,16.709999,17.09,5699000,17.09
2015-05-22,16.76,17.50,16.620001,17.370001,5939400,17.370001
2015-05-21,16.25,17.190001,16.219999,17.07,8301900,17.07
2015-05-20,16.17,16.25,15.66,16.00,6067600,16.00
2015-05-19,17.01,17.10,16.01,16.09,8964000,16.09
2015-05-18,17.02,17.360001,16.67,17.360001,5717100,17.360001
2015-05-15,16.75,17.48,16.35,17.219999,6171700,17.219999
2015-05-14,17.65,18.10,16.83,16.879999,6446500,16.879999
2015-05-13,18.129999,18.15,17.49,17.620001,6842600,17.620001
2015-05-12,16.799999,18.07,16.790001,18.00,8808900,18.00
2015-05-11,17.32,17.66,16.700001,16.82,6604000,16.82
2015-05-08,17.110001,17.23,16.33,17.200001,7835100,17.200001
2015-05-07,16.10,17.200001,15.25,16.84,14117400,16.84
2015-05-06,16.700001,16.85,16.10,16.299999,7545200,16.299999
2015-05-05,17.719999,17.99,16.200001,16.32,8479200,16.32
2015-05-04,17.780001,18.030001,16.799999,17.280001,9413400,17.280001
2015-05-01,17.610001,18.10,17.299999,17.790001,6638200,17.790001
2015-04-30,17.42,18.110001,16.889999,17.940001,8576600,17.940001
2015-04-29,16.110001,17.57,16.059999,17.450001,7936200,17.450001
2015-04-28,16.139999,16.49,15.88,16.17,4290900,16.17
2015-04-27,16.40,16.51,16.00,16.09,4247000,16.09
2015-04-24,16.41,16.540001,15.95,16.26,5796000,16.26
2015-04-23,16.620001,17.139999,16.34,16.459999,7290400,16.459999
2015-04-22,17.049999,17.110001,16.33,16.469999,8660400,16.469999
2015-04-21,18.120001,18.25,16.68,16.83,9409100,16.83
2015-04-20,17.32,18.60,17.299999,18.10,8753500,18.10
2015-04-17,18.190001,18.41,17.34,17.379999,7582000,17.379999
2015-04-16,18.60,18.84,18.059999,18.34,7509300,18.34
2015-04-15,17.76,18.860001,17.540001,18.719999,13537300,18.719999
2015-04-14,17.110001,18.110001,17.02,18.01,7784400,18.01
2015-04-13,17.129999,17.299999,16.530001,16.959999,4336300,16.959999
2015-04-10,17.129999,17.35,16.49,16.91,4996800,16.91
2015-04-09,16.67,17.389999,16.66,17.129999,6547500,17.129999
2015-04-08,16.73,17.00,16.34,16.559999,6700600,16.559999
2015-04-07,16.43,17.450001,16.290001,16.73,11549900,16.73
2015-04-06,15.28,16.82,15.21,16.65,10773200,16.65
2015-04-02,14.48,15.28,14.46,14.94,7676900,14.94
2015-04-01,14.24,15.02,14.23,14.69,7542200,14.69
2015-03-31,13.96,14.50,13.96,14.22,5875300,14.22
2015-03-30,14.05,14.39,13.72,14.17,8292800,14.17
2015-03-27,13.91,14.31,13.72,14.06,7916100,14.06
2015-03-26,13.78,14.25,13.61,14.15,9318600,14.15
2015-03-25,13.26,13.55,12.92,13.30,8795200,13.30
2015-03-24,12.56,13.22,12.25,13.21,15851300,13.21
2015-03-23,13.88,14.53,12.54,12.67,20746800,12.67
2015-03-20,14.29,14.38,13.66,13.80,8283000,13.80
2015-03-19,13.46,14.09,13.40,13.96,5334900,13.96
2015-03-18,12.92,14.15,12.50,13.97,9975400,13.97
2015-03-17,13.25,13.50,12.91,13.05,8022100,13.05
2015-03-16,13.47,13.54,12.82,13.35,7647500,13.35
2015-03-13,13.84,13.97,13.33,13.93,8237300,13.93
2015-03-12,14.23,14.28,13.89,14.14,5314200,14.14
2015-03-11,13.66,14.35,13.64,14.13,8410500,14.13
2015-03-10,13.68,14.03,13.52,13.72,7081000,13.72
2015-03-09,14.08,14.66,13.87,14.06,11013300,14.06
2015-03-06,13.43,13.74,13.16,13.70,9179700,13.70
2015-03-05,14.00,14.08,13.52,13.52,11145700,13.52
2015-03-04,13.20,14.48,13.12,14.33,30089200,14.33
2015-03-03,13.65,14.40,13.63,13.84,8121300,13.84
2015-03-02,14.33,14.33,13.28,13.55,9692400,13.55
2015-02-27,14.82,15.20,14.21,14.33,8151900,14.33
2015-02-26,15.12,15.98,14.50,14.56,13353300,14.56
2015-02-25,15.31,15.92,14.99,15.73,8645600,15.73
2015-02-24,16.370001,16.50,14.91,15.45,12468200,15.45
2015-02-23,16.129999,16.809999,16.01,16.24,7628800,16.24
2015-02-20,16.82,17.25,16.40,16.65,6026300,16.65
2015-02-19,15.90,17.17,15.82,16.99,9995500,16.99
2015-02-18,16.530001,17.48,16.48,16.82,7342900,16.82
2015-02-17,16.639999,17.42,16.01,17.190001,9509000,17.190001
2015-02-13,17.780001,18.379999,16.690001,16.84,12163000,16.84
2015-02-12,16.58,17.559999,16.389999,16.870001,11682300,16.870001
2015-02-11,15.73,16.040001,14.85,15.93,12533700,15.93
2015-02-10,17.90,17.90,15.55,16.16,15440100,16.16
2015-02-09,18.76,19.629999,17.77,17.959999,12219000,17.959999
2015-02-06,18.83,19.219999,18.040001,18.65,10108600,18.65
2015-02-05,17.610001,19.280001,17.34,18.40,18224200,18.40
2015-02-04,16.700001,17.57,16.01,17.209999,17123100,17.209999
2015-02-03,15.87,18.17,15.85,17.639999,23067700,17.639999
2015-02-02,13.84,15.39,13.70,15.27,14209900,15.27
2015-01-30,12.80,13.60,12.23,13.44,10061300,13.44
2015-01-29,12.75,12.93,12.05,12.90,7520000,12.90
2015-01-28,13.28,13.39,12.53,12.56,10640600,12.56
2015-01-27,13.25,13.88,13.01,13.46,11845200,13.46
2015-01-26,13.00,13.50,12.70,13.29,7301400,13.29
2015-01-23,13.22,13.53,12.60,12.91,13304700,12.91
2015-01-22,13.89,14.20,12.87,13.35,10367900,13.35
2015-01-21,13.45,13.93,13.32,13.86,7019500,13.86
