Date,Open,High,Low,Close,Volume,Adj Close
2016-05-18,20.34,21.200001,19.870001,20.00,5637900,20.00
2016-05-17,20.18,20.870001,19.809999,20.50,4465400,20.50
2016-05-16,20.200001,20.66,19.82,20.059999,4876300,20.059999
2016-05-13,18.870001,19.90,18.58,19.60,4927600,19.60
2016-05-12,19.25,20.00,17.879999,18.92,9980500,18.92
2016-05-11,18.01,20.719999,18.00,18.690001,15504700,18.690001
2016-05-10,17.790001,17.85,16.50,17.82,26889100,17.82
2016-05-09,22.00,22.639999,21.00,22.51,8721200,22.51
2016-05-06,21.08,22.75,20.809999,21.84,9406800,21.84
2016-05-05,24.35,25.00,21.27,21.67,12420500,21.67
2016-05-04,26.74,27.780001,23.01,23.65,10459800,23.65
2016-05-03,29.799999,29.950001,26.280001,26.450001,8300700,26.450001
2016-05-02,30.049999,30.25,28.35,29.549999,4675500,29.549999
2016-04-29,32.68,33.150002,29.40,30.32,6037000,30.32
2016-04-28,32.990002,34.169998,32.00,32.240002,3251600,32.240002
2016-04-27,32.990002,34.439999,32.82,33.310001,4894500,33.310001
2016-04-26,31.559999,33.599998,31.50,33.00,3681900,33.00
2016-04-25,33.00,33.939999,30.709999,31.18,6967000,31.18
2016-04-22,34.040001,35.23,32.82,33.34,5521800,33.34
2016-04-21,32.75,35.00,32.75,33.869999,5887500,33.869999
2016-04-20,30.40,34.349998,30.299999,32.650002,9391200,32.650002
2016-04-19,30.610001,30.85,29.76,30.280001,3607900,30.280001
2016-04-18,28.50,31.18,28.35,30.25,4974500,30.25
2016-04-15,29.049999,29.379999,28.629999,29.040001,2297700,29.040001
2016-04-14,29.50,29.67,29.00,29.290001,2416800,29.290001
2016-04-13,29.459999,29.639999,28.34,29.379999,4663400,29.379999
2016-04-12,28.82,29.60,28.26,29.43,3063200,29.43
2016-04-11,28.950001,29.450001,28.10,28.280001,4028100,28.280001
2016-04-08,28.059999,29.43,27.700001,27.99,6069800,27.99
2016-04-07,28.450001,28.90,26.200001,27.00,3998300,27.00
2016-04-06,26.75,29.24,26.60,27.98,5710200,27.98
2016-04-05,24.67,27.25,24.50,26.73,4108100,26.73
2016-04-04,24.50,25.379999,24.50,25.00,2486700,25.00
2016-04-01,25.27,25.74,23.959999,24.280001,3570700,24.280001
2016-03-31,23.34,25.110001,23.32,24.58,3861200,24.58
2016-03-30,23.00,23.40,22.25,23.309999,3192800,23.309999
2016-03-29,21.16,22.74,21.01,22.469999,2589400,22.469999
2016-03-28,22.219999,22.440001,21.49,21.690001,2732400,21.690001
2016-03-24,21.799999,23.299999,21.25,22.219999,3859300,22.219999
2016-03-23,24.50,24.959999,22.049999,22.360001,7436500,22.360001
2016-03-22,26.24,26.60,24.540001,24.77,3806300,24.77
2016-03-21,26.91,27.40,26.299999,26.559999,2341500,26.559999
2016-03-18,27.440001,27.67,26.860001,27.059999,3498700,27.059999
2016-03-17,27.26,27.450001,25.75,26.76,3888100,26.76
2016-03-16,27.139999,27.73,26.40,26.809999,2670700,26.809999
2016-03-15,27.00,28.290001,26.50,27.370001,4504300,27.370001
2016-03-14,25.60,27.25,25.110001,26.93,4023300,26.93
2016-03-11,26.18,26.41,25.389999,25.690001,3073700,25.690001
2016-03-10,26.85,26.90,25.35,26.15,4566600,26.15
2016-03-09,25.469999,26.75,25.15,26.200001,5625600,26.200001
2016-03-08,25.969999,26.90,24.379999,25.08,9002700,25.08
2016-03-07,22.639999,24.77,22.629999,24.190001,7431300,24.190001
